kanji,reading,meaning,kaku
問題,もんだい,problem,
遅い,おそ（い）,late,
文句,もんく,a complaint,
文句を言う,もんく（を）いう,to complain (always use 言う）,
街,まち,in town,
時間が経つ,じかん（が）た（つ）,(time) passes,
必ず,かなら（ず）,"surely, in every case",hai
関係,かんけい,relationship,hai
独立,どくりつ,independence（する：to be independent),hai
人間,にんげん,"person, human being",hai
寝坊する,ねぼう（する）,to oversleep,
怒る,おこ（る）,to get ａｎｇｅｒｙ,hai
我慢,がまん,"patience（する：to endure, put up with)",
暮らす,く（らす）,to live,
長い,なが（い）,long,hai
短い,みじか（い）,short,hai
過ごす,す（ごす）,to spend time,
得る,え（る）,to obtain,hai
笑顔,えがお,"smile, a smiling face",
似合う,にあ（う）,to suit / to be becoming (of a person),
気遣う,きづか（う）,to be concerned about,
形容する,けいよう（する）,to express figuratively,
溶け込む,と（け）こ（む）,to melt into; to become a part of,hai
身振り,みぶ（り）,gesture,
相違,そうい,difference,hai
積極的に,せっきょくてき（に）,actively,hai
参加する,さんか（する）,to participate,hai
尋ねる,たず（ねる）,to inquire,
求める,もと（める）,"to seek, to look for",
彼女,かのじょ,she; one's girlfriend,
アメリカ流,（アメリカ）りゅう,the ＡＭＥＲＩＣＡＮ way,hai
常に,つね（に）,always,hai
仕方,しかた,"way, method",
単語,たんご,"word, vocabulary",
納得する,なっとく（する）,to be convinced,
先手を打つ,せんて（を）う（つ）,to make a move before the other person,
異文化,いぶんか,differnt culture,hai
圏,けん,"ken, sphere (of knowledge)",
身を以て,み（を）もっ（て）,personally,
目に余る,め（に）あま（る）,to be too much (to tolerate),
遠慮,えんりょ,"reserve, restraint（する：to reserve onself)",
遠慮なく,えんりょ（なく）,"(when opening gifts) ""I do not reserve myself""",
注意,ちゅうい,the state of caution（する：being careful),hai
助言,じょげん,advice,
与える,あた（える）,to give (advice),
口喧しい,くちやかま（しい）,critical (ie: of criticism),
陰で,かげ（で）,behind someone's back,
悪口を言う,わるくち（を）い（う）,to speak ill of,
甘い,あま（い）,"sweet, delicious; lenient",
甘くする,あま（くする）,to be lenient,
失敗する,しっぱい（する）,to fail,
使用,しよう,the use,
許す,ゆる（す）,"to allow, to permit, to forgive",hai
無限,むげん,that which is infinite,hai
無限に,むげん（に）,without limit,
結果,けっか,result,hai
最後に,さいご（に）,at the end,
洗濯,せんたく,laundry,
精神,せいしん,spirit,hai
薄らぐ,うす（らぐ）,"to fade, to decrease",
悔やむ,く（やむ）,to regret,
真の,しん（の）,true,
妨げる,さまた（げる）,to prevent,hai
涙を流す,なみだ（を）なが（す）,"to weep, to shed tears",hai
決して（ない）,けっ（して）（ない）,by no means; never,hai
無駄な,むだ（な）,wasteful,
感想,かんそう,one's thoughts / impression,
