kanji,reading,meaning,kaku
机,つくえ,ticket,
切符,きっぷ,(train) schedule,
座席,ざせき,seat,
〜号車,〜ごうしゃ,traincar number (#),
乗車券,じょうしゃけん,passenger ticket,
指定席券,していせきけん,reserved-seat ticket,
特急料金,とっきゅうりょうきん,special express fare,
預かる,あず（かる）,to keep (something),
予約,よやく,reservation（する：to make a reservation),hai
一泊,いっぱく,one night's stay,hai
〜泊,〜ぱく,counter for nights,
旅館,りょかん,Japanese style inn,
二食付き,にしょくつ（き）,"""two meals included""",
〜付き,〜つ（き）,"""included with 〜""",
静かな,しず（かな）,quiet,
眺め,なが（め）,a view (eg: room with a view),
和室,わしつ,Japanese-sytle room,hai
住所,じゅうしょ,"house address, residence, domicle",hai
お風呂,（お）ふろ,bath,
夕食,ゆうしょく,dinner,
男湯,おとこゆ,men's bath,
女湯,おんなゆ,women's bath,
見物,けんぶつ,"a sightseeing, ""to see the sights of""",
冗談,じょうだん,a joke,
民宿,みんしゅく,bed and breakfast and dinner,hai
浴衣,ゆかた,informal cotton kimono,
体,からだ,body,hai
洗う,あら（う）,to wash,
国内,こくない,domestic,hai
旅行者,りょこうしゃ,travel agency,hai
都市,とし,city,hai
有効な,ゆうこう（な）,valid,hai
期間,きかん,period,hai
鉄道,てつどう,railway,
北海道,ほっかいどう,northern island of Japan,
本州,ほんしゅう,main island of Japan,
九州,きゅうしゅう,southern island of Japan,
自然,しぜん,"nature, spontaneity",hai
自然な,しぜん（な）,"natural, spontaneous",
自然に,しぜん（に）,"naturally, spontaneously",
農業,のうぎょう,agriculture,hai
動物,どうぶつ,animal,
珍しい,めずら（しい）,rare,
先住民,せんじゅうみん,people native to the land,
村,むら,village,
景色,けしき,"scenery, landscape",
国際的な,こくさいてき（な）,international,hai
大都市,だいとし,ＢＩＧ　city,
世界,せかい,world,hai
最大,さいだい,largest,hai
政治,せいじ,politics,
経済,けいざい,economy,
商業,しょうぎょう,commerce,
教育,きょういく,education,
芸術,げいじゅつ,art,hai
中心,ちゅうしん,center,
醜い,みにく（い）,ugly,
混雑,こんざつ,"confusion, congenstion (混雑した：crowded)",
物価,ぶっか,commodity prices,hai
批判,ひはん,criticism（する：to criticize),hai
秩序,ちつじょ,order (ie: everything in order),
特徴,とくちょう,a characteristic,hai
集まる,あつ（まる）,something gathers (intrans.),
比べる,くら（べる）,to compare (〜と：with 〜）,hai
犯罪,はんざい,crime,hai
活気,かっき,"liveliness, vitality, energy",
絶えず,た（えず）,constantly,
変化,へんか,a change（変化した：changed),
魅力的な,みりょくてき（な）,"charming, attractive",
都,みやこ,old city / capital,
第二次大戦,だいにじたいせん,WWII,
被害,ひがい,damage,hai
昔,むかし,olden days,
神社,じんじゃ,shrine,
大仏,だいぶつ,big statue of Buddha,
お城,（お）しろ,castle,
火山,かざん,volcano,
温泉,おんせん,hot spring,
小説家,しょうせつか,novelist,
怒る,おこ（る）,to get ａｎｇｅｒｙ,
