kanji,reading,meaning,kaku
顔色,かおいろ,complexion,
研究室,けんきゅうしつ,teacher's office,
吐く,は（く）,to vomit,
お腹,（お）なか,stomach,
痛い,いた（い）,"to hurt / ache, painful, sore",hai
お医者さん,（お）いしゃ（さん）,doctor,hai
診る,み（る）,to examine,
お大事に,（お）だいじ（に）,"""take care!"" (to someone sick)",
熱,ねつ,fever,hai
寒気がする,さむけ（がする）,to feel a chill,
食欲,しょくよく,appetite,hai
下痢,げり,diarrhea,
薬,くすり,medicine,hai
服用する,ふくよう（する）,to take medicine,
柔らかい,やわ（らかい）,soft,
治る,なお（る）,to get better,hai
しかめっ面,（しかめっ）つら,grimace,
歯,は,tooth,
歯医者,はいしゃ,dentist,
急に,きゅう（に）,"quickly, suddenly",
突然,とつぜん,all of a sudden; short notice,
患者,かんじゃ,a patient,
空く,あ（く）,to become vacant,
運がいい,うん（がいい）,lucky,hai
診察,しんさつ,examination of a patient,hai
部分,ぶぶん,part,hai
素人,しろうと,layman,
断食,だんじき,a fast,hai
主張する,しゅちゅう（する）,"to assert, to insist",hai
黒砂糖,くろざとう,brown sugar,
消化,しょうか,digestion,hai
比較的に,ひかくてき（に）,relatively,hai
卵,たまご,egg,
胃,い,stomach,
代わり,か（わり）,"instead of; in pace of; alternative, substitute",
栄養,えいよう,nutrition,
成功,せいこう,success,
症状,しょうじょう,symptom,hai
具合,ぐあい,condition,
昼ごはん,ひる（ご）はん,lunch,
感じる,かん（じる）,"to feel, to sense",
療法,りょうほう,"therapeutics, treatment, therapy",
治療,ちりょう,meidcal treatment,hai
タンパク質,（タンパク）しつ,protein,
必要な,ひつよう（な）,necessary,hai
余分な,よぶん（な）,extra,
科学的な,かがくてき（な）,scientific,hai
証明する,しょうめい（する）,to prove,hai
雰囲気,ふんいき,atmosphere,
完全な,かんぜん（な）,"perfect, complete",hai
毒,どく,"toxin, poison",
散歩,さんぽ,a walk (for pleasure),
聴く,き（く）,to listen (to music),
腹をたてる,はら（をたてる）,to get angry,
決して,けっ（して）,never,hai
溜まる,た（まる）,"to accumulate, to pile up, to gather",
お勧め,（お）すす（め）,"suggestion, recommendation",
健康な,けんこう（な）,healthy,
・,きっと,surely; definitely,
・,すごく,very (a less strong that とても）,
